lab,address,pincode,city,state,type
"ICMR-Regional Medical Research Centre, Port Blair","ICMR-Regional Medical Research Centre, Post Bag 13, Dollygunj, Port Blair, Andaman and Nicobar Islands 744103",744103,Port Blair,Andaman and Nicobar Islands,Government Laboratory
"Tomo Riba Institute of Health & Medical Sciences, Naharlagun","National Highway 52A, Old Assembly Complex, Naharlagun, Arunachal Pradesh 791110",791110,Naharlagun,Arunachal Pradesh,Collection Site
"Sri Venkateswara Institute of Medical Sciences, Tirupati","Sri Venkateswara Institute of Medical Sciences, Tirupati, Andhra Pradesh Alipiri Rd, Sri Padmavati Mahila Visvavidyalayam, Tirupati, Andhra Pradesh 517507",517507,Tirupati,Andhra Pradesh,Government Laboratory
"Rangaraya Medical College, Kakinada","Rangaraya Medical College, Kakinada Pithampuram Road, Kakinada, Andhra Pradesh 533001",533001,Kakinada,Andhra Pradesh,Government Laboratory
"Sidhartha Medical College, Vijaywada","Siddhartha Medical College, Vijayawada NH 16 Service Rd, beside Dr NTR University of Health Sciences, Gunadala, Vijayawada, Andhra Pradesh 520008",520008,Vijayawada,Andhra Pradesh,Government Laboratory
"Government Medical College, Anantapur","Government Medical College, Anantapur, Rahamat Nagar, Anantapur, Andhra Pradesh 515001",515001,Anantapur,Andhra Pradesh,Government Laboratory
"Guntur Medical College, Guntur","Guntur Medical College, Guntur Kanna Vari Thota, Guntur, Andhra Pradesh 522004",522004,Guntur,Andhra Pradesh,Government Laboratory
"Rajeev Gandhi Institute of Medical Sciences (RIMS), Kadappa","Rajiv Gandhi Institute of Medical Sciences, Kadapa Puttampalli, Andhra Pradesh 516002",516002,Puttampalli,Andhra Pradesh,Government Laboratory
"Andhra Medical College, Vishakhapatnam","Andhra Medical College, Vishakhapatnam, Medical College Road, Opp Collector Office, Maharanipeta, King George Hospital Campus, Andhra Pradesh 530002",530002,Vishakhapatnam,Andhra Pradesh,Government Laboratory
"Gauhati Medical College, Guwahati","Guwahati Narakasur Hilltop, Bhangagarh, Guwahati, Assam 781032",781032,Guwahati,Assam,Government Laboratory
"Regional Medical Research Centre, Dibrugarh","Regional Medical Research Centre, Dibrugarh Bokul, Lahowal, Dibrugarh, Assam, Assam 786001",786001,Dibrugarh,Assam,Government Laboratory
"Jorhat Medical College, Jorhat","Jorhat Medical College, Jorhat Kushal Konwar Path, Barbheta, Jorhat, Assam 785001",785001,Jorhat,Assam,Government Laboratory
"Silchar Medical College, Silchar","Silchar Medical College, Silchar Ghungoor Road, beside Indian Post, Masimpur, Uttar Krishnapur Pt III, Assam 788014",788014,Silchar,Assam,Government Laboratory
"Fakhruddin Medical College, Barpeta","Fakhruddin Medical College, Barpeta-Hospital-Jania Rd, Joti Gaon, Assam 781301",781301,Barpeta,Assam,Government Laboratory
"Tezpur Medical College and Hospital, Tezpur","Tezpur Medical College. Bihaguri, Tezpur 784010, Assam, India",784010,Tezpur,Assam,Government Laboratory
"Rajendra Memorial Research Institute of Medical Sciences, Patna","Rajendra Memorial Research Institute of Medical Sciences, Sadikpur, Patna, Bihar 800007",800007,Patna,Bihar,Government Laboratory
"Indira Gandhi Institute of Medical Sciences, Patna","Indira Gandhi Institute of Medical Sciences, Allahabad bank, Bailey Rd, Sheikhpura, Patna, Bihar 800014",800014,Patna,Bihar,Government Laboratory
"Patna Medical College, Patna","Patna Medical College, Ashok Rajpath, Patna University Campus, Patna, Bihar 800001",800001,Patna,Bihar,Government Laboratory
"Darbhanga Medical College, Darbhanga","Darbhanga Medical College, DMCH Rd, Allalpatti, Laheriasarai, Darbhanga, Bihar 846003",846003,Darbhanga,Bihar,Government Laboratory
"S K Medical College, Muzaffarpur","S K Medical College, Shree Krishna medical college, Uma Nagar, Muzaffarpur, Bihar 842004",842004,Muzaffarpur,Bihar,Government Laboratory
"All India Institute of Medical Sciences (AIIMS), Patna","All India Institute of Medical Sciences, Phulwarisharif, Patna, Bihar 801507, India",801507,Patna,Bihar,Government Laboratory
"Post Graduate Institute of Medical Education & Research, Chandigarh","Post Graduate Institute of Medical Education & Research, Chandigarh, Madhya Marg, Sector 12, Chandigarh, 160012",160012,Chandigarh,Chandigarh,Government Laboratory
"Government Medical College & Hospital, Chandigarh","Government Medical College & Hospital, Chandi Path, Sector 32B, 32B, Sector 32, Chandigarh, 160047",160047,Chandigarh,Chandigarh,Government Laboratory
"CSIR - Institute of Microbial Technology, Chandigarh","CSIR - Institute of Microbial Technology, Sector 39A, Chandigarh, 160036, India",160036,Chandigarh,Chandigarh,Government Laboratory
"All India Institute of Medical Science (AIIMS), Raipur","All India Institute of Medical Science (AIIMS), Great Eastern Rd, AIIMS Campus, Tatibandh, Raipur, Chhattisgarh 492099",492099,Raipur,Chhattisgarh,Government Laboratory
"Late Baliram Kashyap M Govt. Medical College, Jagdalpur","Late Baliram Kashyap M Govt. Medical College, Dimrapal, Jagdalpur, Chhattisgarh 494001",494001,Jagdalpur,Chhattisgarh,Government Laboratory
Pt J.N.M. Medical College Raipur,"Pt. Jawahar Lal Nehru Memorial Medical College, Jail Road, Raipur, Chhattisgarh 492001, India",492001,Raipur,Chhattisgarh,Government Laboratory
"Shri Vinoba Bhave Civil Hospital and NAtional MOdern Medical Education and Research Institute, Silvassa","NAtional MOdern Medical Education and Research Institute and Shri Vinoba Bhave Civil Hospital, Sayali Road, Silvassa Dadra & Nagar Haveli 396230 India",396230,Silvassa,Dadra and Nagar Haveli and Daman and Diu,Government Laboratory
"All India Institute of Medical Sciences, New Delhi","All India Institute of Medical Sciences, Sri Aurobindo Marg, Ansari Nagar, Ansari Nagar East, New Delhi, Delhi 110029",110029,New Delhi,Delhi,Government Laboratory
"Lady Hardinge Medical College, New Delhi","Lady Hardinge Medical College, Connaught Place, New Delhi, Delhi 110001",110001,New Delhi,Delhi,Government Laboratory
"National Centre for Disease Control, New Delhi","National Centre for Disease Control, 22, Sham Nath Marg, Civil Lines, New Delhi, Delhi 110054",110054,New Delhi,Delhi,Government Laboratory
"Ram Manohar Lohia Hospital, New Delhi","Ram Manohar Lohia Hospital, Type III, President's Estate, New Delhi, Delhi 110001",110001,New Delhi,Delhi,Government Laboratory
"Institute of Liver and Biliary Sciences, New Delhi","Institute of Liver and Biliary Sciences, D1 ILBS Road, Vasant Kunj, New Delhi, Delhi 110070",110070,New Delhi,Delhi,Government Laboratory
"Army Hospital Research & Referral, New Delhi","Army Hospital Research & Referral, Military Hospital Road Near, Subroto Park, Dhaula Kuan, New Delhi, Delhi 110010",110010,New Delhi,Delhi,Government Laboratory
"Maulana Azad Medical College, New Delhi","Maulana Azad Medical College, 2, Bahadur Shah Zafar Marg, New Delhi, Delhi 110002",110002,New Delhi,Delhi,Government Laboratory
"Vardhman Mahavir Medical College and Safdarjung Hospital, New Delhi","Vardhman Mahavir Medical College and Safdarjung Hospital, Ansari Nagar East, New Delhi, Delhi 110029",110029,New Delhi,Delhi,Government Laboratory
"Dr Lal PathLabs, National Reference laboratory","Dr Lal PathLabs, National Reference laboratory, B7 Rd, Block E, Sector 18, Rohini, New Delhi, Delhi 110085",110085,New Delhi,Delhi,Private Laboratory
"Dr. Dang’s Lab, New Delhi","Dr. Dang’s Lab, C2/1 SDA Aurbindo Marg, New Delhi 110016",110016,New Delhi,Delhi,Private Laboratory
"Laboratory Services Indraprastha Apollo Hospitals, Sarita Vihar, New Delhi","Laboratory Services Indraprastha Apollo Hospitals, Sarita Vihar, New Delhi 110076",110076,New Delhi,Delhi,Private Laboratory
"Max lab, Max Super Speciality Hospita, Saket, New Delhi","Max lab, Max Super Speciality Hospital, 1, Press Enclave Road, Saket New Delhi 110017",110017,New Delhi,Delhi,Private Laboratory
"Sir ganga ram hospital clinical laboratory services, New Delhi","Sir ganga ram hospital clinical laboratory services, Sarhadi Gandhi Marg, Old Rajinder Nagar, Rajinder Nagar, New Delhi, Delhi 110060",110060,New Delhi,Delhi,Private Laboratory
"ONCQUEST Laboratories Limited, New Delhi","ONCQUEST Laboratories Limited 3-Factory Road, Adjacent Safdarjung Hospital, New Delhi, Delhi 110029",110029,New Delhi,Delhi,Private Laboratory
"Prognosis Laboratories, New Delhi","Prognosis Laboratories, 515-516, behind Gupta Properties, Close to Welcome Hotel (ITC, Sector 19, Pocket 1, Dwarka, New Delhi, Delhi 110075",110075,New Delhi,Delhi,Private Laboratory
