Date,State,TotalSamples,Negative,Positive
2020-04-17,Andaman and Nicobar Islands,1403,1210,12
2020-04-24,Andaman and Nicobar Islands,2679,,27
2020-04-27,Andaman and Nicobar Islands,2848,,33
2020-04-02,Andhra Pradesh,1800,1175,132
2020-04-10,Andhra Pradesh,6374,6009,365
2020-04-11,Andhra Pradesh,6958,6577,381
2020-04-12,Andhra Pradesh,6958,6553,405
2020-04-13,Andhra Pradesh,8755,8323,432
2020-04-14,Andhra Pradesh,10505,10032,473
2020-04-15,Andhra Pradesh,11613,11088,525
2020-04-16,Andhra Pradesh,20235,19701,534
2020-04-17,Andhra Pradesh,20235,,572
2020-04-18,Andhra Pradesh,21450,20487,603
2020-04-19,Andhra Pradesh,26958,26311,647
2020-04-20,Andhra Pradesh,30733,30011,722
2020-04-21,Andhra Pradesh,35755,34998,757
2020-04-22,Andhra Pradesh,41512,40699,813
2020-04-23,Andhra Pradesh,48032,47139,893
2020-04-24,Andhra Pradesh,54338,53383,955
2020-04-25,Andhra Pradesh,61266,60250,1016
2020-04-26,Andhra Pradesh,68034,66937,1097
2020-04-27,Andhra Pradesh,74551,73374,1177
2020-04-28,Andhra Pradesh,80334,79075,1259
2020-04-09,Arunachal Pradesh,206,185,1
2020-04-14,Arunachal Pradesh,280,250,1
2020-04-17,Arunachal Pradesh,363,338,1
2020-04-18,Arunachal Pradesh,389,358,1
2020-04-19,Arunachal Pradesh,,,
2020-04-20,Arunachal Pradesh,439,405,1
2020-04-21,Arunachal Pradesh,454,433,1
2020-04-22,Arunachal Pradesh,496,441,2
2020-04-23,Arunachal Pradesh,,,
2020-04-24,Arunachal Pradesh,526,508,2
2020-04-25,Arunachal Pradesh,,,
2020-04-26,Arunachal Pradesh,568,529,2
2020-04-27,Arunachal Pradesh,584,566,2
2020-04-28,Arunachal Pradesh,,,
2020-04-02,Assam,962,819,16
2020-04-05,Assam,,,
2020-04-10,Assam,2863,2685,29
2020-04-11,Assam,3011,2842,29
2020-04-12,Assam,3138,2973,29
2020-04-13,Assam,,,
2020-04-14,Assam,3491,3267,31
2020-04-15,Assam,3613,3492,32
2020-04-16,Assam,4108,3803,34
2020-04-17,Assam,4236,4024,34
2020-04-18,Assam,4400,4199,34
2020-04-19,Assam,4865,4584,34
2020-04-20,Assam,5112,4937,34
2020-04-21,Assam,5514,5245,34
2020-04-22,Assam,,,
2020-04-23,Assam,,,
2020-04-24,Assam,6680,6391,35
2020-04-25,Assam,7159,6781,35
2020-04-26,Assam,7823,7474,35
2020-04-27,Assam,8117,7985,35
2020-04-28,Assam,,,
2020-04-05,Bihar,3037,2299,32
2020-04-05,Bihar,3037,2299,32
2020-04-08,Bihar,4596,,38
2020-04-09,Bihar,4991,,43
2020-04-10,Bihar,5457,,60
2020-04-11,Bihar,6250,,61
2020-04-12,Bihar,6703,,64
2020-04-13,Bihar,7263,,65
2020-04-14,Bihar,7727,,62
2020-04-15,Bihar,8263,,66
2020-04-16,Bihar,8846,,72
2020-04-17,Bihar,9486,,83
2020-04-18,Bihar,10130,,85
2020-04-19,Bihar,10745,,92
2020-04-20,Bihar,11319,,96
2020-04-21,Bihar,11999,,115
2020-04-22,Bihar,12978,,136
2020-04-23,Bihar,13785,,148
2020-04-24,Bihar,14924,,176
2020-04-25,Bihar,15885,,238
2020-04-26,Bihar,17041,,255
2020-04-27,Bihar,18179,,328
2020-04-28,Bihar,19790,,346
