date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015-12-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,16.0,26.0,20.0,15.0,11.0,10.0,8.0
2015-12-11,3.0,4.0,4.0,9.0,6.0,5.0,10.0,11.0,29.0,11.0,18.0,15.0,24.0,23.0,23.0,28.0,27.0,39.0,24.0,32.0,11.0,12.0,16.0,7.0
2015-12-12,7.0,5.0,5.0,11.0,5.0,11.0,3.0,14.0,5.0,12.0,25.0,19.0,18.0,23.0,20.0,28.0,30.0,22.0,24.0,37.0,9.0,29.0,21.0,19.0
2015-12-13,9.0,5.0,5.0,8.0,2.0,4.0,8.0,13.0,14.0,11.0,17.0,19.0,22.0,19.0,18.0,17.0,14.0,22.0,28.0,16.0,14.0,8.0,17.0,6.0
2015-12-14,4.0,11.0,4.0,3.0,4.0,10.0,15.0,27.0,25.0,21.0,16.0,22.0,26.0,29.0,16.0,28.0,33.0,31.0,38.0,22.0,20.0,19.0,10.0,10.0
2015-12-15,3.0,10.0,3.0,7.0,9.0,6.0,5.0,16.0,22.0,31.0,24.0,35.0,26.0,25.0,24.0,24.0,23.0,32.0,27.0,16.0,13.0,21.0,13.0,4.0
2015-12-16,4.0,6.0,8.0,4.0,6.0,8.0,17.0,17.0,19.0,19.0,21.0,15.0,19.0,26.0,19.0,11.0,36.0,32.0,25.0,17.0,19.0,13.0,9.0,6.0
2015-12-17,9.0,9.0,3.0,2.0,3.0,5.0,12.0,14.0,30.0,18.0,14.0,11.0,20.0,28.0,34.0,27.0,24.0,32.0,34.0,14.0,25.0,12.0,7.0,0.0
2015-12-18,0.0,0.0,0.0,0.0,0.0,1.0,2.0,11.0,11.0,12.0,22.0,24.0,23.0,33.0,30.0,25.0,30.0,43.0,23.0,17.0,20.0,11.0,8.0,0.0
2015-12-19,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,10.0,21.0,21.0,27.0,21.0,18.0,16.0,10.0,25.0,29.0,20.0,12.0,10.0,12.0,6.0
2015-12-20,11.0,9.0,10.0,8.0,5.0,5.0,9.0,10.0,9.0,11.0,11.0,11.0,17.0,10.0,22.0,20.0,15.0,14.0,19.0,8.0,12.0,10.0,6.0,9.0
2015-12-21,14.0,6.0,9.0,9.0,5.0,12.0,11.0,15.0,18.0,21.0,16.0,19.0,30.0,24.0,19.0,29.0,29.0,38.0,30.0,16.0,14.0,17.0,15.0,11.0
2015-12-22,5.0,9.0,3.0,6.0,4.0,5.0,15.0,20.0,15.0,32.0,21.0,29.0,24.0,20.0,42.0,26.0,28.0,36.0,31.0,27.0,11.0,15.0,14.0,10.0
2015-12-23,5.0,10.0,5.0,4.0,1.0,14.0,15.0,12.0,26.0,26.0,28.0,32.0,25.0,24.0,30.0,20.0,44.0,59.0,39.0,27.0,17.0,25.0,18.0,13.0
2015-12-24,9.0,10.0,7.0,7.0,10.0,6.0,10.0,9.0,17.0,18.0,21.0,35.0,40.0,35.0,30.0,31.0,21.0,26.0,30.0,16.0,22.0,17.0,4.0,16.0
2015-12-25,9.0,7.0,10.0,2.0,9.0,6.0,6.0,14.0,10.0,19.0,19.0,19.0,16.0,13.0,21.0,19.0,16.0,22.0,17.0,14.0,22.0,7.0,8.0,16.0
2015-12-26,5.0,5.0,7.0,6.0,5.0,2.0,7.0,16.0,4.0,10.0,9.0,16.0,16.0,21.0,18.0,23.0,18.0,14.0,19.0,18.0,11.0,20.0,6.0,10.0
2015-12-27,19.0,5.0,12.0,7.0,5.0,13.0,6.0,11.0,14.0,11.0,13.0,11.0,15.0,15.0,16.0,13.0,20.0,24.0,22.0,17.0,14.0,14.0,8.0,12.0
2015-12-28,4.0,5.0,8.0,6.0,2.0,9.0,13.0,14.0,15.0,30.0,26.0,30.0,27.0,22.0,16.0,20.0,15.0,29.0,22.0,14.0,12.0,12.0,21.0,8.0
2015-12-29,4.0,8.0,6.0,3.0,11.0,7.0,15.0,14.0,19.0,17.0,32.0,22.0,26.0,21.0,22.0,20.0,20.0,27.0,10.0,15.0,19.0,11.0,10.0,8.0
2015-12-30,8.0,8.0,5.0,16.0,4.0,5.0,6.0,12.0,15.0,22.0,17.0,13.0,26.0,23.0,21.0,17.0,24.0,27.0,17.0,20.0,16.0,8.0,18.0,4.0
2015-12-31,9.0,5.0,5.0,4.0,8.0,3.0,7.0,9.0,14.0,16.0,22.0,19.0,16.0,17.0,16.0,15.0,21.0,21.0,12.0,15.0,18.0,13.0,12.0,17.0
2016-01-01,19.0,11.0,13.0,6.0,3.0,4.0,5.0,8.0,9.0,7.0,14.0,15.0,10.0,16.0,15.0,11.0,8.0,20.0,13.0,15.0,10.0,9.0,10.0,11.0
2016-01-02,6.0,6.0,11.0,3.0,4.0,7.0,5.0,13.0,9.0,11.0,17.0,20.0,23.0,21.0,19.0,20.0,20.0,24.0,27.0,21.0,14.0,12.0,11.0,10.0
2016-01-03,6.0,3.0,6.0,8.0,10.0,7.0,5.0,8.0,8.0,21.0,6.0,18.0,20.0,27.0,14.0,23.0,24.0,27.0,23.0,12.0,16.0,16.0,10.0,4.0
2016-01-04,11.0,8.0,5.0,3.0,4.0,6.0,12.0,19.0,21.0,12.0,18.0,19.0,21.0,22.0,24.0,27.0,31.0,29.0,29.0,21.0,16.0,10.0,21.0,12.0
2016-01-05,9.0,6.0,10.0,4.0,5.0,12.0,14.0,30.0,32.0,31.0,19.0,20.0,37.0,37.0,27.0,9.0,19.0,35.0,22.0,14.0,22.0,15.0,11.0,5.0
2016-01-06,5.0,4.0,6.0,8.0,5.0,5.0,10.0,29.0,24.0,31.0,22.0,17.0,30.0,27.0,26.0,29.0,22.0,45.0,25.0,25.0,10.0,9.0,8.0,8.0
2016-01-07,10.0,7.0,8.0,1.0,4.0,5.0,6.0,9.0,16.0,26.0,18.0,22.0,32.0,21.0,24.0,22.0,24.0,36.0,28.0,24.0,13.0,12.0,10.0,7.0
2016-01-08,5.0,3.0,3.0,7.0,5.0,6.0,14.0,18.0,20.0,24.0,9.0,26.0,16.0,20.0,25.0,17.0,21.0,30.0,28.0,10.0,9.0,17.0,17.0,9.0
2016-01-09,3.0,9.0,6.0,15.0,3.0,10.0,11.0,10.0,13.0,27.0,25.0,22.0,20.0,25.0,16.0,19.0,15.0,13.0,23.0,24.0,16.0,18.0,8.0,9.0
2016-01-10,7.0,10.0,7.0,8.0,10.0,9.0,18.0,10.0,16.0,32.0,18.0,22.0,20.0,19.0,27.0,16.0,18.0,30.0,42.0,23.0,14.0,14.0,8.0,3.0
2016-01-11,12.0,4.0,6.0,5.0,8.0,7.0,15.0,19.0,40.0,19.0,27.0,18.0,22.0,29.0,24.0,28.0,19.0,23.0,26.0,19.0,19.0,11.0,11.0,7.0
2016-01-12,6.0,1.0,4.0,1.0,4.0,7.0,21.0,17.0,25.0,16.0,20.0,25.0,18.0,35.0,22.0,30.0,30.0,23.0,17.0,68.0,77.0,61.0,33.0,21.0
2016-01-13,12.0,5.0,8.0,7.0,6.0,11.0,14.0,23.0,50.0,22.0,12.0,25.0,23.0,21.0,37.0,23.0,13.0,28.0,33.0,24.0,12.0,9.0,5.0,4.0
2016-01-14,9.0,9.0,5.0,7.0,3.0,2.0,15.0,18.0,29.0,19.0,20.0,24.0,27.0,18.0,20.0,25.0,17.0,26.0,34.0,20.0,11.0,23.0,7.0,12.0
2016-01-15,4.0,5.0,9.0,10.0,8.0,7.0,12.0,19.0,30.0,27.0,18.0,30.0,24.0,43.0,34.0,28.0,22.0,30.0,13.0,12.0,12.0,8.0,19.0,13.0
2016-01-16,7.0,5.0,2.0,9.0,4.0,7.0,10.0,5.0,19.0,15.0,24.0,26.0,33.0,19.0,11.0,19.0,17.0,13.0,16.0,16.0,14.0,8.0,15.0,9.0
2016-01-17,8.0,11.0,8.0,7.0,7.0,1.0,9.0,8.0,7.0,17.0,22.0,16.0,17.0,10.0,18.0,11.0,13.0,15.0,22.0,11.0,18.0,12.0,12.0,6.0
2016-01-18,8.0,6.0,3.0,6.0,4.0,6.0,6.0,11.0,14.0,22.0,23.0,34.0,15.0,19.0,16.0,17.0,18.0,17.0,26.0,19.0,10.0,7.0,11.0,12.0
2016-01-19,4.0,4.0,6.0,3.0,4.0,15.0,12.0,13.0,34.0,18.0,31.0,35.0,25.0,27.0,21.0,23.0,27.0,16.0,32.0,19.0,18.0,20.0,16.0,8.0
2016-01-20,7.0,6.0,4.0,4.0,4.0,3.0,16.0,20.0,32.0,27.0,16.0,29.0,16.0,19.0,24.0,14.0,19.0,32.0,27.0,26.0,17.0,17.0,8.0,7.0
2016-01-21,6.0,4.0,8.0,3.0,2.0,4.0,8.0,15.0,20.0,21.0,18.0,17.0,15.0,15.0,25.0,20.0,25.0,26.0,27.0,16.0,17.0,22.0,13.0,18.0
2016-01-22,3.0,6.0,4.0,3.0,10.0,5.0,15.0,15.0,19.0,20.0,24.0,21.0,22.0,19.0,26.0,28.0,21.0,38.0,24.0,33.0,38.0,38.0,20.0,23.0
2016-01-23,35.0,20.0,18.0,20.0,21.0,18.0,30.0,51.0,30.0,37.0,40.0,47.0,36.0,43.0,39.0,54.0,67.0,58.0,53.0,47.0,42.0,23.0,29.0,29.0
2016-01-24,19.0,13.0,11.0,14.0,14.0,16.0,20.0,34.0,35.0,46.0,35.0,40.0,55.0,36.0,34.0,25.0,28.0,46.0,32.0,28.0,21.0,18.0,19.0,18.0
2016-01-25,14.0,4.0,13.0,6.0,6.0,12.0,18.0,24.0,48.0,45.0,27.0,34.0,42.0,30.0,37.0,39.0,33.0,27.0,23.0,25.0,17.0,12.0,19.0,14.0
2016-01-26,10.0,7.0,7.0,12.0,11.0,4.0,10.0,16.0,41.0,32.0,32.0,42.0,39.0,32.0,29.0,16.0,34.0,37.0,32.0,16.0,14.0,10.0,8.0,12.0
2016-01-27,10.0,13.0,7.0,6.0,5.0,8.0,17.0,21.0,24.0,21.0,28.0,27.0,30.0,20.0,31.0,21.0,31.0,30.0,20.0,12.0,23.0,12.0,9.0,6.0
2016-01-28,12.0,2.0,8.0,1.0,9.0,8.0,16.0,23.0,35.0,35.0,30.0,25.0,29.0,30.0,29.0,19.0,16.0,19.0,17.0,17.0,18.0,11.0,13.0,12.0
2016-01-29,6.0,6.0,6.0,5.0,2.0,6.0,17.0,26.0,25.0,18.0,20.0,17.0,16.0,27.0,30.0,22.0,32.0,32.0,28.0,23.0,17.0,12.0,13.0,11.0
2016-01-30,7.0,14.0,9.0,7.0,5.0,5.0,11.0,6.0,12.0,26.0,18.0,17.0,19.0,23.0,20.0,17.0,28.0,21.0,15.0,21.0,12.0,13.0,14.0,9.0
2016-01-31,5.0,5.0,6.0,4.0,5.0,6.0,9.0,10.0,18.0,14.0,15.0,13.0,19.0,18.0,18.0,18.0,15.0,14.0,15.0,19.0,13.0,8.0,8.0,6.0
2016-02-01,7.0,3.0,3.0,4.0,7.0,14.0,11.0,24.0,23.0,25.0,19.0,11.0,32.0,9.0,23.0,20.0,16.0,29.0,28.0,19.0,11.0,15.0,8.0,14.0
2016-02-02,4.0,5.0,5.0,4.0,9.0,5.0,20.0,68.0,40.0,33.0,25.0,23.0,19.0,24.0,23.0,31.0,25.0,32.0,26.0,16.0,10.0,7.0,8.0,5.0
2016-02-03,9.0,3.0,2.0,5.0,5.0,5.0,29.0,22.0,17.0,23.0,17.0,27.0,20.0,25.0,27.0,42.0,33.0,25.0,27.0,20.0,23.0,10.0,9.0,7.0
2016-02-04,10.0,1.0,4.0,8.0,3.0,8.0,16.0,19.0,24.0,24.0,30.0,19.0,16.0,14.0,19.0,21.0,23.0,26.0,16.0,19.0,20.0,7.0,9.0,6.0
2016-02-05,5.0,2.0,2.0,6.0,4.0,6.0,13.0,15.0,16.0,22.0,22.0,24.0,23.0,22.0,29.0,27.0,40.0,27.0,19.0,16.0,16.0,19.0,15.0,11.0
2016-02-06,9.0,9.0,4.0,5.0,4.0,6.0,10.0,10.0,21.0,22.0,19.0,17.0,28.0,17.0,25.0,13.0,19.0,17.0,23.0,15.0,13.0,11.0,14.0,16.0
2016-02-07,8.0,8.0,12.0,5.0,2.0,5.0,2.0,11.0,20.0,14.0,17.0,25.0,17.0,9.0,13.0,13.0,9.0,10.0,12.0,12.0,5.0,6.0,10.0,11.0
2016-02-08,14.0,7.0,3.0,3.0,7.0,9.0,6.0,9.0,19.0,29.0,19.0,19.0,31.0,27.0,18.0,16.0,25.0,24.0,31.0,13.0,7.0,11.0,6.0,8.0
2016-02-09,10.0,7.0,2.0,2.0,6.0,6.0,16.0,11.0,24.0,20.0,22.0,12.0,18.0,25.0,22.0,16.0,35.0,31.0,33.0,13.0,15.0,19.0,5.0,7.0
2016-02-10,7.0,5.0,8.0,3.0,6.0,4.0,15.0,61.0,18.0,14.0,25.0,19.0,15.0,18.0,30.0,26.0,16.0,25.0,21.0,21.0,18.0,12.0,15.0,8.0
2016-02-11,6.0,7.0,3.0,6.0,4.0,8.0,23.0,11.0,43.0,64.0,27.0,20.0,19.0,27.0,28.0,31.0,14.0,20.0,12.0,19.0,13.0,11.0,8.0,14.0
2016-02-12,6.0,5.0,2.0,4.0,4.0,4.0,11.0,19.0,16.0,22.0,19.0,25.0,17.0,28.0,25.0,25.0,23.0,16.0,29.0,19.0,16.0,12.0,24.0,9.0
2016-02-13,10.0,7.0,6.0,6.0,2.0,7.0,6.0,13.0,9.0,14.0,11.0,24.0,22.0,31.0,25.0,19.0,16.0,18.0,22.0,7.0,14.0,15.0,16.0,10.0
2016-02-14,14.0,9.0,14.0,4.0,3.0,3.0,13.0,9.0,11.0,27.0,17.0,19.0,20.0,13.0,24.0,19.0,19.0,19.0,13.0,21.0,15.0,14.0,10.0,9.0
2016-02-15,10.0,4.0,9.0,5.0,4.0,12.0,8.0,16.0,14.0,18.0,20.0,20.0,23.0,41.0,43.0,37.0,38.0,35.0,33.0,44.0,33.0,26.0,27.0,18.0
