movieId,title,genres
1,Toy Story (1995),"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']"
2,Jumanji (1995),"['Adventure', 'Children', 'Fantasy']"
3,Grumpier Old Men (1995),"['Comedy', 'Romance']"
6,Heat (1995),"['Action', 'Crime', 'Thriller']"
7,Sabrina (1995),"['Comedy', 'Romance']"
10,GoldenEye (1995),"['Action', 'Adventure', 'Thriller']"
11,"American President, The (1995)","['Comedy', 'Drama', 'Romance']"
16,Casino (1995),"['Crime', 'Drama']"
17,Sense and Sensibility (1995),"['Drama', 'Romance']"
19,Ace Ventura: When Nature Calls (1995),['Comedy']
21,Get Shorty (1995),"['Comedy', 'Crime', 'Thriller']"
25,Leaving Las Vegas (1995),"['Drama', 'Romance']"
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"['Mystery', 'Sci-Fi', 'Thriller']"
34,Babe (1995),"['Children', 'Drama']"
36,Dead Man Walking (1995),"['Crime', 'Drama']"
39,Clueless (1995),"['Comedy', 'Romance']"
47,Seven (a.k.a. Se7en) (1995),"['Mystery', 'Thriller']"
48,Pocahontas (1995),"['Animation', 'Children', 'Drama', 'Musical', 'Romance']"
50,"Usual Suspects, The (1995)","['Crime', 'Mystery', 'Thriller']"
62,Mr. Holland's Opus (1995),['Drama']
70,From Dusk Till Dawn (1996),"['Action', 'Comedy', 'Horror', 'Thriller']"
95,Broken Arrow (1996),"['Action', 'Adventure', 'Thriller']"
104,Happy Gilmore (1996),['Comedy']
110,Braveheart (1995),"['Action', 'Drama', 'War']"
111,Taxi Driver (1976),"['Crime', 'Drama', 'Thriller']"
141,"Birdcage, The (1996)",['Comedy']
145,Bad Boys (1995),"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']"
150,Apollo 13 (1995),"['Adventure', 'Drama', 'IMAX']"
153,Batman Forever (1995),"['Action', 'Adventure', 'Comedy', 'Crime']"
158,Casper (1995),"['Adventure', 'Children']"
160,Congo (1995),"['Action', 'Adventure', 'Mystery', 'Sci-Fi']"
161,Crimson Tide (1995),"['Drama', 'Thriller', 'War']"
163,Desperado (1995),"['Action', 'Romance', 'Western']"
165,Die Hard: With a Vengeance (1995),"['Action', 'Crime', 'Thriller']"
168,First Knight (1995),"['Action', 'Drama', 'Romance']"
172,Johnny Mnemonic (1995),"['Action', 'Sci-Fi', 'Thriller']"
173,Judge Dredd (1995),"['Action', 'Crime', 'Sci-Fi']"
185,"Net, The (1995)","['Action', 'Crime', 'Thriller']"
208,Waterworld (1995),"['Action', 'Adventure', 'Sci-Fi']"
223,Clerks (1994),['Comedy']
225,Disclosure (1994),"['Drama', 'Thriller']"
231,Dumb & Dumber (Dumb and Dumber) (1994),"['Adventure', 'Comedy']"
235,Ed Wood (1994),"['Comedy', 'Drama']"
253,Interview with the Vampire: The Vampire Chronicles (1994),"['Drama', 'Horror']"
260,Star Wars: Episode IV - A New Hope (1977),"['Action', 'Adventure', 'Sci-Fi']"
266,Legends of the Fall (1994),"['Drama', 'Romance', 'War', 'Western']"
288,Natural Born Killers (1994),"['Action', 'Crime', 'Thriller']"
292,Outbreak (1995),"['Action', 'Drama', 'Sci-Fi', 'Thriller']"
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),"['Action', 'Crime', 'Drama', 'Thriller']"
296,Pulp Fiction (1994),"['Comedy', 'Crime', 'Drama', 'Thriller']"
300,Quiz Show (1994),['Drama']
316,Stargate (1994),"['Action', 'Adventure', 'Sci-Fi']"
317,"Santa Clause, The (1994)","['Comedy', 'Drama', 'Fantasy']"
318,"Shawshank Redemption, The (1994)","['Crime', 'Drama']"
329,Star Trek: Generations (1994),"['Adventure', 'Drama', 'Sci-Fi']"
337,What's Eating Gilbert Grape (1993),['Drama']
339,While You Were Sleeping (1995),"['Comedy', 'Romance']"
344,Ace Ventura: Pet Detective (1994),['Comedy']
349,Clear and Present Danger (1994),"['Action', 'Crime', 'Drama', 'Thriller']"
350,"Client, The (1994)","['Drama', 'Mystery', 'Thriller']"
353,"Crow, The (1994)","['Action', 'Crime', 'Fantasy', 'Thriller']"
356,Forrest Gump (1994),"['Comedy', 'Drama', 'Romance', 'War']"
357,Four Weddings and a Funeral (1994),"['Comedy', 'Romance']"
364,"Lion King, The (1994)","['Adventure', 'Animation', 'Children', 'Drama', 'Musical', 'IMAX']"
367,"Mask, The (1994)","['Action', 'Comedy', 'Crime', 'Fantasy']"
368,Maverick (1994),"['Adventure', 'Comedy', 'Western']"
370,Naked Gun 33 1/3: The Final Insult (1994),"['Action', 'Comedy']"
377,Speed (1994),"['Action', 'Romance', 'Thriller']"
380,True Lies (1994),"['Action', 'Adventure', 'Comedy', 'Romance', 'Thriller']"
410,Addams Family Values (1993),"['Children', 'Comedy', 'Fantasy']"
420,Beverly Hills Cop III (1994),"['Action', 'Comedy', 'Crime', 'Thriller']"
432,City Slickers II: The Legend of Curly's Gold (1994),"['Adventure', 'Comedy', 'Western']"
434,Cliffhanger (1993),"['Action', 'Adventure', 'Thriller']"
435,Coneheads (1993),"['Comedy', 'Sci-Fi']"
440,Dave (1993),"['Comedy', 'Romance']"
442,Demolition Man (1993),"['Action', 'Adventure', 'Sci-Fi']"
454,"Firm, The (1993)","['Drama', 'Thriller']"
457,"Fugitive, The (1993)",['Thriller']
466,Hot Shots! Part Deux (1993),"['Action', 'Comedy', 'War']"
474,In the Line of Fire (1993),"['Action', 'Thriller']"
480,Jurassic Park (1993),"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
485,Last Action Hero (1993),"['Action', 'Adventure', 'Comedy', 'Fantasy']"
500,Mrs. Doubtfire (1993),"['Comedy', 'Drama']"
508,Philadelphia (1993),['Drama']
509,"Piano, The (1993)","['Drama', 'Romance']"
520,Robin Hood: Men in Tights (1993),['Comedy']
527,Schindler's List (1993),"['Drama', 'War']"
539,Sleepless in Seattle (1993),"['Comedy', 'Drama', 'Romance']"
541,Blade Runner (1982),"['Action', 'Sci-Fi', 'Thriller']"
551,"Nightmare Before Christmas, The (1993)","['Animation', 'Children', 'Fantasy', 'Musical']"
552,"Three Musketeers, The (1993)","['Action', 'Adventure', 'Comedy', 'Romance']"
553,Tombstone (1993),"['Action', 'Drama', 'Western']"
555,True Romance (1993),"['Crime', 'Thriller']"
586,Home Alone (1990),"['Children', 'Comedy']"
587,Ghost (1990),"['Comedy', 'Drama', 'Fantasy', 'Romance', 'Thriller']"
588,Aladdin (1992),"['Adventure', 'Animation', 'Children', 'Comedy', 'Musical']"
589,Terminator 2: Judgment Day (1991),"['Action', 'Sci-Fi']"
590,Dances with Wolves (1990),"['Adventure', 'Drama', 'Western']"
592,Batman (1989),"['Action', 'Crime', 'Thriller']"
593,"Silence of the Lambs, The (1991)","['Crime', 'Horror', 'Thriller']"
594,Snow White and the Seven Dwarfs (1937),"['Animation', 'Children', 'Drama', 'Fantasy', 'Musical']"
595,Beauty and the Beast (1991),"['Animation', 'Children', 'Fantasy', 'Musical', 'Romance', 'IMAX']"
596,Pinocchio (1940),"['Animation', 'Children', 'Fantasy', 'Musical']"
597,Pretty Woman (1990),"['Comedy', 'Romance']"
608,Fargo (1996),"['Comedy', 'Crime', 'Drama', 'Thriller']"
648,Mission: Impossible (1996),"['Action', 'Adventure', 'Mystery', 'Thriller']"
653,Dragonheart (1996),"['Action', 'Adventure', 'Fantasy']"
673,Space Jam (1996),"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy', 'Sci-Fi']"
708,"Truth About Cats & Dogs, The (1996)","['Comedy', 'Romance']"
733,"Rock, The (1996)","['Action', 'Adventure', 'Thriller']"
736,Twister (1996),"['Action', 'Adventure', 'Romance', 'Thriller']"
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"['Comedy', 'War']"
778,Trainspotting (1996),"['Comedy', 'Crime', 'Drama']"
780,Independence Day (a.k.a. ID4) (1996),"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
784,"Cable Guy, The (1996)","['Comedy', 'Thriller']"
786,Eraser (1996),"['Action', 'Drama', 'Thriller']"
788,"Nutty Professor, The (1996)","['Comedy', 'Fantasy', 'Romance', 'Sci-Fi']"
858,"Godfather, The (1972)","['Crime', 'Drama']"
903,Vertigo (1958),"['Drama', 'Mystery', 'Romance', 'Thriller']"
904,Rear Window (1954),"['Mystery', 'Thriller']"
908,North by Northwest (1959),"['Action', 'Adventure', 'Mystery', 'Romance', 'Thriller']"
912,Casablanca (1942),"['Drama', 'Romance']"
919,"Wizard of Oz, The (1939)","['Adventure', 'Children', 'Fantasy', 'Musical']"
923,Citizen Kane (1941),"['Drama', 'Mystery']"
924,2001: A Space Odyssey (1968),"['Adventure', 'Drama', 'Sci-Fi']"
953,It's a Wonderful Life (1946),"['Children', 'Drama', 'Fantasy', 'Romance']"
1028,Mary Poppins (1964),"['Children', 'Comedy', 'Fantasy', 'Musical']"
1035,"Sound of Music, The (1965)","['Musical', 'Romance']"
1036,Die Hard (1988),"['Action', 'Crime', 'Thriller']"
1073,Willy Wonka & the Chocolate Factory (1971),"['Children', 'Comedy', 'Fantasy', 'Musical']"
1079,"Fish Called Wanda, A (1988)","['Comedy', 'Crime']"
1080,Monty Python's Life of Brian (1979),['Comedy']
1089,Reservoir Dogs (1992),"['Crime', 'Mystery', 'Thriller']"
1090,Platoon (1986),"['Drama', 'War']"
1097,E.T. the Extra-Terrestrial (1982),"['Children', 'Drama', 'Sci-Fi']"
1101,Top Gun (1986),"['Action', 'Romance']"
1127,"Abyss, The (1989)","['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
1136,Monty Python and the Holy Grail (1975),"['Adventure', 'Comedy', 'Fantasy']"
1148,Wallace & Gromit: The Wrong Trousers (1993),"['Animation', 'Children', 'Comedy', 'Crime']"
1193,One Flew Over the Cuckoo's Nest (1975),['Drama']
1196,Star Wars: Episode V - The Empire Strikes Back (1980),"['Action', 'Adventure', 'Sci-Fi']"
1197,"Princess Bride, The (1987)","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance']"
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),"['Action', 'Adventure']"
1199,Brazil (1985),"['Fantasy', 'Sci-Fi']"
1200,Aliens (1986),"['Action', 'Adventure', 'Horror', 'Sci-Fi']"
1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)","['Action', 'Adventure', 'Western']"
1203,12 Angry Men (1957),['Drama']
1206,"Clockwork Orange, A (1971)","['Crime', 'Drama', 'Sci-Fi', 'Thriller']"
1207,To Kill a Mockingbird (1962),['Drama']
1208,Apocalypse Now (1979),"['Action', 'Drama', 'War']"
1210,Star Wars: Episode VI - Return of the Jedi (1983),"['Action', 'Adventure', 'Sci-Fi']"
1213,Goodfellas (1990),"['Crime', 'Drama']"
1214,Alien (1979),"['Horror', 'Sci-Fi']"
1215,Army of Darkness (1993),"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Horror']"
1219,Psycho (1960),"['Crime', 'Horror']"
1220,"Blues Brothers, The (1980)","['Action', 'Comedy', 'Musical']"
1221,"Godfather: Part II, The (1974)","['Crime', 'Drama']"
1222,Full Metal Jacket (1987),"['Drama', 'War']"
1225,Amadeus (1984),['Drama']
1230,Annie Hall (1977),"['Comedy', 'Romance']"
1234,"Sting, The (1973)","['Comedy', 'Crime']"
1240,"Terminator, The (1984)","['Action', 'Sci-Fi', 'Thriller']"
1246,Dead Poets Society (1989),['Drama']
1247,"Graduate, The (1967)","['Comedy', 'Drama', 'Romance']"
1252,Chinatown (1974),"['Crime', 'Film-Noir', 'Mystery', 'Thriller']"
1258,"Shining, The (1980)",['Horror']
1259,Stand by Me (1986),"['Adventure', 'Drama']"
1265,Groundhog Day (1993),"['Comedy', 'Fantasy', 'Romance']"
1270,Back to the Future (1985),"['Adventure', 'Comedy', 'Sci-Fi']"
1276,Cool Hand Luke (1967),['Drama']
1278,Young Frankenstein (1974),"['Comedy', 'Fantasy']"
1282,Fantasia (1940),"['Animation', 'Children', 'Fantasy', 'Musical']"
1288,This Is Spinal Tap (1984),['Comedy']
1291,Indiana Jones and the Last Crusade (1989),"['Action', 'Adventure']"
1302,Field of Dreams (1989),"['Children', 'Drama', 'Fantasy']"
1304,Butch Cassidy and the Sundance Kid (1969),"['Action', 'Western']"
1307,When Harry Met Sally... (1989),"['Comedy', 'Romance']"
1356,Star Trek: First Contact (1996),"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
1370,Die Hard 2 (1990),"['Action', 'Adventure', 'Thriller']"
1374,Star Trek II: The Wrath of Khan (1982),"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
1377,Batman Returns (1992),"['Action', 'Crime']"
1380,Grease (1978),"['Comedy', 'Musical', 'Romance']"
1387,Jaws (1975),"['Action', 'Horror']"
1391,Mars Attacks! (1996),"['Action', 'Comedy', 'Sci-Fi']"
1393,Jerry Maguire (1996),"['Drama', 'Romance']"
1394,Raising Arizona (1987),['Comedy']
1407,Scream (1996),"['Comedy', 'Horror', 'Mystery', 'Thriller']"
1466,Donnie Brasco (1997),"['Crime', 'Drama']"
1485,Liar Liar (1997),['Comedy']
1500,Grosse Pointe Blank (1997),"['Comedy', 'Crime', 'Romance']"
1517,Austin Powers: International Man of Mystery (1997),"['Action', 'Adventure', 'Comedy']"
1527,"Fifth Element, The (1997)","['Action', 'Adventure', 'Comedy', 'Sci-Fi']"
1544,"Lost World: Jurassic Park, The (1997)","['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
1552,Con Air (1997),"['Action', 'Adventure', 'Thriller']"
1573,Face/Off (1997),"['Action', 'Crime', 'Drama', 'Thriller']"
1580,Men in Black (a.k.a. MIB) (1997),"['Action', 'Comedy', 'Sci-Fi']"
